3771.599,135
3779.6,113
3787.6,129
3795.6,117
3803.6,133
3811.6,123
3819.6,121
3827.601,95
3835.601,116
3843.601,98
3851.601,91
3859.601,100
3867.601,121
3875.602,115
3883.602,127
3891.602,104
3899.602,112
3907.602,109
3915.602,99
3923.603,93
3931.603,102
3939.603,87
3947.603,119
3955.603,117
3963.603,113
3971.604,103
3979.604,108
3987.604,101
3995.604,111
4003.604,97
4011.604,107
4019.605,99
4027.605,101
4035.605,110
4043.605,115
4051.605,110
4059.605,89
4067.606,100
4075.606,97
4083.606,96
4091.606,100
4099.606,102
4107.606,100
4115.607,120
4123.607,98
4131.607,101
4139.607,102
4147.607,110
4155.607,97
4163.608,96
4171.608,91
4179.608,104
4187.608,96
4195.608,98
4203.608,95
4211.609,100
4219.609,96
4227.609,102
4235.609,99
4243.609,121
4251.609,115
4259.61,119
4267.61,96
4275.61,144
4283.61,113
4291.61,100
4299.61,88
4307.611,119
4315.611,96
4323.611,98
4331.611,102
4339.611,95
4347.611,93
4355.612,94
4363.612,103
4371.612,99
4379.612,111
4387.612,90
4395.612,99
4403.613,110
4411.613,95
4419.613,90
4427.613,103
4435.613,96
4443.613,95
4451.614,104
4459.614,86
4467.614,76
4475.614,74
4483.614,80
4491.614,78
4499.615,84
4507.615,78
4515.615,64
4523.615,63
4531.615,62
4539.615,74
4547.616,62
4555.616,73
4563.616,63
4571.616,59
4579.616,52
4587.616,51
4595.617,56
4603.617,68
4611.617,62
4619.617,50
4627.617,41
4635.617,47
4643.618,56
4651.618,49
4659.618,63
4667.618,53
4675.618,43
4683.618,61
4691.619,59
4699.619,55
4707.619,51
4715.619,43
4723.619,52
4731.619,39
4739.62,55
4747.62,45
4755.62,37
4763.62,45
4771.62,55
4779.62,45
4787.621,43
4795.621,37
4803.621,58
4811.621,42
4819.621,51
4827.621,43
4835.622,39
4843.622,40
4851.622,46
4859.622,39
4867.622,47
4875.622,41
4883.623,38
4891.623,57
4899.623,47
4907.623,46
4915.623,50
4923.623,47
4931.624,50
4939.624,61
4947.624,47
4955.624,61
4963.624,50
4971.624,52
4979.625,56
4987.625,68
4995.625,52
5003.625,68
5011.625,50
5019.625,63
5027.626,53
5035.626,77
5043.626,70
5051.626,76
5059.626,70
5067.626,69
5075.627,81
5083.627,72
5091.627,71
5099.627,84
5107.627,81
5115.627,91
5123.628,73
5131.628,77
5139.628,81
5147.628,99
5155.628,84
5163.628,90
5171.629,85
5179.629,78
5187.629,78
5195.629,92
5203.629,96
5211.629,82
5219.63,89
5227.63,97
5235.63,88
5243.63,86
5251.63,73
5259.63,89
5267.631,107
5275.631,82
5283.631,73
5291.631,70
5299.631,78
5307.631,86
