Vbr,1208.9,23.128
52.269975786924945
52.7,13
52.8,13.5
53,16.6
53.5,25.8
54,40.8
54.5,50.4
55,61.6
55.5,73.2
56,85.6
56.5,97.5
57,114
57.5,115
58,135
58.5,146
59,156
60,180
61,203
62,223
